start_at,symbol,period,open,high,low,close
1666310400,ETHUSD,1,1282.64,1282.83,1282.13,1282.22
1666310460,ETHUSD,1,1282.22,1282.52,1281.94,1281.97
1666310520,ETHUSD,1,1281.97,1283.32,1281.87,1283.13
1666310580,ETHUSD,1,1283.13,1283.25,1281.96,1282.32
1666310640,ETHUSD,1,1282.32,1282.63,1282.24,1282.49
1666310700,ETHUSD,1,1282.49,1282.52,1282.02,1282.16
1666310760,ETHUSD,1,1282.16,1282.17,1280.98,1281.07
1666310820,ETHUSD,1,1281.07,1282.12,1281.07,1282.08
1666310880,ETHUSD,1,1282.08,1283.4,1282.07,1283.05
1666310940,ETHUSD,1,1283.05,1283.44,1282.76,1283.35
1666311000,ETHUSD,1,1283.35,1283.86,1283.23,1283.3
1666311060,ETHUSD,1,1283.3,1283.32,1281.7,1281.72
1666311120,ETHUSD,1,1281.72,1281.76,1281.13,1281.21
1666311180,ETHUSD,1,1281.21,1281.7,1281.12,1281.63
1666311240,ETHUSD,1,1281.63,1284.39,1281.54,1284.14
1666311300,ETHUSD,1,1284.14,1285.09,1283.89,1283.92
1666311360,ETHUSD,1,1283.92,1283.94,1283.12,1283.22
1666311420,ETHUSD,1,1283.22,1283.27,1282.73,1282.93
1666311480,ETHUSD,1,1282.93,1283.03,1281.95,1282.05
1666311540,ETHUSD,1,1282.05,1282.17,1281.63,1281.78
1666311600,ETHUSD,1,1281.78,1282.12,1281.54,1281.73
1666311660,ETHUSD,1,1281.73,1281.73,1281.0,1281.5
1666311720,ETHUSD,1,1281.5,1281.74,1281.23,1281.26
1666311780,ETHUSD,1,1281.26,1281.3,1279.66,1280.02
1666311840,ETHUSD,1,1280.02,1280.28,1278.78,1280.12
1666311900,ETHUSD,1,1280.12,1281.07,1279.99,1280.47
1666311960,ETHUSD,1,1280.47,1281.99,1280.38,1281.7
1666312020,ETHUSD,1,1281.7,1282.72,1281.66,1281.82
1666312080,ETHUSD,1,1281.82,1281.99,1281.38,1281.91
1666312140,ETHUSD,1,1281.91,1282.0,1280.11,1280.14
1666312200,ETHUSD,1,1280.14,1280.21,1279.59,1279.63
1666312260,ETHUSD,1,1279.63,1280.18,1278.71,1280.12
1666312320,ETHUSD,1,1280.12,1280.86,1279.85,1280.05
1666312380,ETHUSD,1,1280.05,1280.32,1279.45,1279.71
1666312440,ETHUSD,1,1279.71,1279.88,1279.03,1279.31
1666312500,ETHUSD,1,1279.31,1280.54,1279.26,1279.5
1666312560,ETHUSD,1,1279.5,1279.56,1279.16,1279.31
1666312620,ETHUSD,1,1279.31,1281.53,1279.27,1281.28
1666312680,ETHUSD,1,1281.28,1282.6,1281.14,1282.56
1666312740,ETHUSD,1,1282.56,1284.16,1282.46,1284.15
1666312800,ETHUSD,1,1284.15,1284.68,1283.31,1283.5
1666312860,ETHUSD,1,1283.5,1283.56,1283.26,1283.53
1666312920,ETHUSD,1,1283.53,1284.44,1283.5,1283.8
1666312980,ETHUSD,1,1283.8,1284.05,1283.16,1284.04
1666313040,ETHUSD,1,1284.04,1284.07,1283.23,1283.64
1666313100,ETHUSD,1,1283.64,1284.02,1283.56,1283.77
1666313160,ETHUSD,1,1283.77,1284.12,1283.51,1283.64
1666313220,ETHUSD,1,1283.64,1283.78,1283.41,1283.7
1666313280,ETHUSD,1,1283.7,1284.45,1283.67,1284.17
1666313340,ETHUSD,1,1284.17,1284.41,1283.76,1284.32
1666313400,ETHUSD,1,1284.32,1284.91,1283.96,1284.69
1666313460,ETHUSD,1,1284.69,1284.71,1284.16,1284.35
1666313520,ETHUSD,1,1284.35,1285.05,1284.33,1285.01
1666313580,ETHUSD,1,1285.01,1285.91,1284.91,1285.83
1666313640,ETHUSD,1,1285.83,1286.51,1285.68,1285.97
1666313700,ETHUSD,1,1285.97,1286.0,1284.51,1284.89
1666313760,ETHUSD,1,1284.89,1285.0,1284.52,1284.91
1666313820,ETHUSD,1,1284.91,1286.49,1284.85,1286.11
1666313880,ETHUSD,1,1286.11,1286.17,1285.65,1285.66
1666313940,ETHUSD,1,1285.66,1285.73,1284.72,1284.74
1666314000,ETHUSD,1,1284.74,1285.27,1284.28,1284.28
1666314060,ETHUSD,1,1284.28,1284.82,1284.05,1284.05
1666314120,ETHUSD,1,1284.05,1284.07,1283.56,1283.79
1666314180,ETHUSD,1,1283.79,1284.85,1283.67,1284.79
1666314240,ETHUSD,1,1284.79,1285.37,1284.72,1285.22
1666314300,ETHUSD,1,1285.22,1285.5,1284.37,1284.42
1666314360,ETHUSD,1,1284.42,1284.48,1283.76,1284.36
1666314420,ETHUSD,1,1284.36,1284.54,1284.25,1284.52
